,TCL_DM1vs1_I,TCL_DM1vs1_MS,TCL_DM1vs5_I,TCL_DM1vs5_MS,TCL_DM1vs10_I,TCL_DM1vs10_MS,TCL_DM1vs20_I,TCL_DM1vs20_MS,TCL_DJ_I,TCL_DJ_MS,TCL_DF_I,TCL_DF_MS,TRD_DM1vs1_I,TRD_DM1vs1_MS,TRD_DM1vs5_I,TRD_DM1vs5_MS,TRD_DM1vs10_I,TRD_DM1vs10_MS,TRD_DM1vs20_I,TRD_DM1vs20_MS,TRD_DJ_I,TRD_DJ_MS,TRD_DF_I,TRD_DF_MS,TUD_DM1vs1_I,TUD_DM1vs1_MS,TUD_DM1vs5_I,TUD_DM1vs5_MS,TUD_DM1vs10_I,TUD_DM1vs10_MS,TUD_DM1vs20_I,TUD_DM1vs20_MS,TUD_DJ_I,TUD_DJ_MS,TUD_DF_I,TUD_DF_MS,TAN_DM1vs1_I,TAN_DM1vs1_MS,TAN_DM1vs5_I,TAN_DM1vs5_MS,TAN_DM1vs10_I,TAN_DM1vs10_MS,TAN_DM1vs20_I,TAN_DM1vs20_MS,TAN_DJ_I,TAN_DJ_MS,TAN_DF_I,TAN_DF_MS,TCO_DM1vs1_I,TCO_DM1vs1_MS,TCO_DM1vs5_I,TCO_DM1vs5_MS,TCO_DM1vs10_I,TCO_DM1vs10_MS,TCO_DM1vs20_I,TCO_DM1vs20_MS,TCO_DJ_I,TCO_DJ_MS,TCO_DF_I,TCO_DF_MS,HLR_DM1vs1_I,HLR_DM1vs1_MS,HLR_DM1vs5_I,HLR_DM1vs5_MS,HLR_DM1vs10_I,HLR_DM1vs10_MS,HLR_DM1vs20_I,HLR_DM1vs20_MS,HLR_DJ_I,HLR_DJ_MS,HLR_DF_I,HLR_DF_MS,HNE_DM1vs1_I,HNE_DM1vs1_MS,HNE_DM1vs5_I,HNE_DM1vs5_MS,HNE_DM1vs10_I,HNE_DM1vs10_MS,HNE_DM1vs20_I,HNE_DM1vs20_MS,HNE_DJ_I,HNE_DJ_MS,HNE_DF_I,HNE_DF_MS,OCH_DM1vs1_I,OCH_DM1vs1_MS,OCH_DM1vs5_I,OCH_DM1vs5_MS,OCH_DM1vs10_I,OCH_DM1vs10_MS,OCH_DM1vs20_I,OCH_DM1vs20_MS,OCH_DJ_I,OCH_DJ_MS,OCH_DF_I,OCH_DF_MS,WCI_DM1vs1_I,WCI_DM1vs1_MS,WCI_DM1vs5_I,WCI_DM1vs5_MS,WCI_DM1vs10_I,WCI_DM1vs10_MS,WCI_DM1vs20_I,WCI_DM1vs20_MS,WCI_DJ_I,WCI_DJ_MS,WCI_DF_I,WCI_DF_MS,RAW_DM1vs1_I,RAW_DM1vs1_MS,RAW_DM1vs5_I,RAW_DM1vs5_MS,RAW_DM1vs10_I,RAW_DM1vs10_MS,RAW_DM1vs20_I,RAW_DM1vs20_MS,RAW_DJ_I,RAW_DJ_MS,RAW_DF_I,RAW_DF_MS,ARM_DM1vs1_I,ARM_DM1vs1_MS,ARM_DM1vs5_I,ARM_DM1vs5_MS,ARM_DM1vs10_I,ARM_DM1vs10_MS,ARM_DM1vs20_I,ARM_DM1vs20_MS,ARM_DJ_I,ARM_DJ_MS,ARM_DF_I,ARM_DF_MS,ACH_DM1vs1_I,ACH_DM1vs1_MS,ACH_DM1vs5_I,ACH_DM1vs5_MS,ACH_DM1vs10_I,ACH_DM1vs10_MS,ACH_DM1vs20_I,ACH_DM1vs20_MS,ACH_DJ_I,ACH_DJ_MS,ACH_DF_I,ACH_DF_MS
0,28,1.0,21,1.0,23,1.0,24,0.9,10,1.0,75,1.0,56,0.84,37,0.84,44,0.84,23,0.9,10,0.77,114,1.0,26,0.66,21,0.66,23,0.66,25,0.66,10,0.21,62,0.55,22,0.89,27,0.89,26,0.89,26,0.89,10,0.0,69,0.89,16,0.0,20,0.96,20,1.0,45,1.0,10,0.96,50,0.96,52,0.92,30,0.94,31,1.0,32,1.0,10,0.92,112,0.62,66,1.0,34,1.0,36,1.0,36,1.0,10,0.56,119,1.0,16,True,18,True,18,True,23,True,10,True,78,True,18,True,20,True,27,True,33,True,10,True,173,True,22,True,17,True,19,True,19,True,10,True,48,True,10,True,13,True,17,True,18,True,10,False,78,True,26,True,19,True,26,True,29,True,10,True,133,True
1,21,1.0,14,1.0,16,1.0,19,0.97,9,0.13,68,1.0,53,1.0,36,1.0,44,1.0,16,1.0,9,0.52,119,0.77,20,0.83,15,1.0,17,1.0,20,0.97,9,0.03,58,0.55,17,1.0,18,1.0,21,1.0,23,1.0,9,0.0,65,0.44,14,1.0,12,1.0,13,1.0,54,1.0,9,0.0,34,0.0,41,1.0,31,1.0,29,1.0,35,1.0,9,0.62,114,0.92,46,1.0,31,1.0,34,1.0,42,1.0,9,0.44,105,0.89,18,True,14,True,18,True,27,True,9,True,80,True,27,True,12,True,27,True,31,True,9,True,183,True,16,True,7,True,14,True,14,True,9,True,49,True,15,True,10,True,11,True,15,True,9,False,93,True,22,True,17,True,18,True,23,True,9,True,137,True
2,20,0.9,17,0.87,19,1.0,23,0.74,7,0.13,67,1.0,52,0.97,39,0.97,45,0.9,17,0.71,7,0.52,124,0.77,26,0.83,20,0.55,19,0.69,22,0.69,7,0.55,60,0.55,24,0.39,20,0.89,20,0.89,23,0.89,7,0.39,68,0.44,10,0.96,13,0.96,15,0.96,48,0.96,7,0.0,37,0.0,44,0.92,25,0.92,29,0.92,30,0.92,7,0.62,106,1.0,38,0.56,31,0.56,33,1.0,41,1.0,7,0.56,110,1.0,14,True,14,True,22,True,24,True,7,True,86,True,22,True,13,True,22,True,32,True,7,True,165,True,18,True,13,True,16,True,19,True,7,True,60,True,12,True,13,True,13,True,15,True,7,True,88,True,18,True,19,True,22,True,29,True,7,True,125,True
3,26,1.0,16,1.0,17,1.0,20,0.74,10,0.97,69,1.0,46,0.71,37,0.77,40,0.77,15,0.77,10,0.9,115,0.77,26,0.83,17,0.83,20,0.55,20,0.97,10,0.03,58,0.66,10,0.0,14,0.61,17,0.61,18,0.61,10,0.61,73,0.39,20,1.0,13,1.0,15,1.0,42,1.0,10,0.0,0,0.0,46,0.62,24,0.62,25,0.62,30,0.62,10,0.62,114,0.62,40,0.89,26,0.89,30,0.89,35,0.89,10,0.89,103,0.89,9,True,9,True,17,True,22,True,10,True,91,True,29,True,13,True,22,True,26,True,10,True,175,True,12,True,9,True,11,True,13,True,10,True,61,True,14,True,9,True,10,True,11,True,10,False,98,True,18,True,15,True,21,True,23,True,10,True,146,True
4,16,0.9,17,0.74,20,0.87,19,0.74,11,1.0,62,1.0,42,0.9,39,0.9,45,0.9,19,0.9,11,0.52,108,0.94,20,0.83,21,0.83,26,0.55,27,0.55,11,0.03,57,0.83,22,0.89,18,0.89,19,0.89,20,0.89,11,0.89,58,0.61,16,0.0,14,0.0,16,0.0,49,0.0,11,0.0,47,0.96,42,0.92,25,0.92,27,0.92,30,0.92,11,0.92,113,0.92,48,0.89,30,0.89,36,0.89,42,0.89,11,0.56,102,1.0,18,True,15,True,20,True,24,True,11,True,87,True,22,True,14,True,26,True,28,True,11,False,181,True,16,True,15,True,18,True,21,True,11,True,53,True,11,True,15,True,14,True,15,True,11,False,106,True,18,True,22,True,25,True,31,True,11,True,126,True
5,18,0.74,12,0.74,16,0.74,22,0.74,7,0.13,75,1.0,46,0.77,39,0.9,44,0.9,16,0.77,7,0.52,117,0.97,20,0.55,16,0.55,17,0.55,18,0.55,7,0.03,60,0.83,16,0.89,16,0.89,17,0.94,19,0.89,7,0.44,70,0.11,12,0.0,14,0.0,16,0.0,47,0.0,7,0.0,45,0.96,40,0.92,24,0.92,27,0.92,30,0.92,7,0.62,105,1.0,52,1.0,31,1.0,36,1.0,41,1.0,7,0.33,115,0.89,14,True,10,True,14,True,16,True,7,True,69,True,16,True,14,True,22,True,25,True,7,False,164,True,12,True,9,True,15,True,16,True,7,True,48,True,10,False,9,True,9,True,12,False,7,False,94,True,18,True,15,True,19,True,23,True,7,True,129,True
6,20,0.9,19,0.74,19,0.74,16,1.0,8,0.13,0,0.13,46,0.71,41,0.77,46,0.9,17,0.52,8,0.26,130,0.77,26,0.83,16,0.83,17,0.66,20,0.55,8,0.21,58,0.66,24,0.11,18,1.0,26,0.61,26,0.61,8,0.44,70,0.44,14,0.96,15,0.96,15,0.96,50,1.0,8,0.0,40,1.0,32,0.62,25,0.62,26,0.62,28,0.62,8,0.62,104,0.92,42,0.89,29,0.89,37,0.89,39,0.89,8,0.89,115,1.0,20,True,13,True,18,True,27,True,8,True,68,True,18,True,15,False,15,True,22,True,8,True,163,True,15,True,11,True,14,True,16,True,8,True,51,True,16,True,10,True,9,True,16,True,8,False,97,True,24,True,16,True,23,True,26,True,8,True,136,True
7,22,0.9,17,0.74,19,0.74,20,0.87,5,0.87,62,1.0,44,0.77,40,0.97,47,0.97,22,0.65,5,0.65,108,0.87,20,0.83,16,0.83,24,0.83,25,0.59,5,0.1,62,0.55,16,0.89,20,0.61,24,0.61,25,0.61,5,0.0,58,0.44,12,0.0,16,0.0,18,0.0,55,0.0,5,0.96,45,0.96,34,0.92,24,0.92,26,0.92,31,0.92,5,0.54,95,0.62,44,0.89,28,1.0,32,0.56,37,0.56,5,0.56,94,1.0,12,True,12,True,21,True,27,True,5,True,70,True,24,True,16,True,25,True,29,True,5,True,153,True,14,True,11,True,15,True,17,True,5,True,47,True,16,True,11,True,11,True,14,True,5,False,90,True,16,True,16,True,22,True,25,True,5,True,136,True
8,18,1.0,13,1.0,16,1.0,13,1.0,6,1.0,67,1.0,44,0.77,39,0.97,44,0.9,15,0.77,6,0.52,127,0.77,20,0.83,14,0.83,17,0.97,18,0.97,6,0.03,62,0.83,21,0.89,18,0.89,20,0.89,18,0.89,6,0.89,64,0.39,10,1.0,12,1.0,23,0.96,46,1.0,6,1.0,43,0.0,43,0.92,25,1.0,26,0.92,26,0.92,6,0.92,117,1.0,50,1.0,30,0.89,33,1.0,37,1.0,6,1.0,114,1.0,13,True,11,True,18,True,20,True,6,True,84,True,16,True,12,True,23,True,26,True,6,True,162,True,13,True,11,True,14,True,16,True,6,True,54,True,9,True,10,True,11,True,14,True,6,False,79,True,24,True,17,True,21,True,23,True,6,True,141,True
9,20,0.9,15,0.87,15,0.87,20,0.87,7,0.87,67,1.0,55,0.77,48,0.77,53,0.77,23,0.77,7,0.77,131,0.9,25,0.83,17,0.83,19,0.83,21,0.83,7,0.55,73,0.83,14,0.39,17,0.44,20,0.11,20,0.61,7,0.06,72,0.11,20,0.0,16,0.0,16,1.0,59,0.0,7,0.0,46,0.0,42,0.77,25,0.77,26,0.77,30,0.77,7,0.62,122,1.0,48,0.56,31,0.78,40,0.78,47,0.78,7,0.56,122,0.89,16,True,11,True,15,True,22,True,7,True,85,True,16,True,16,True,27,True,31,True,7,True,177,True,16,True,11,True,12,True,14,True,7,True,53,True,10,True,10,True,10,True,12,True,7,False,88,True,20,True,20,True,32,True,34,True,7,True,147,True
