,TCL_DM1vs1_I,TCL_DM1vs1_MS,TCL_DM1vs5_I,TCL_DM1vs5_MS,TCL_DM1vs10_I,TCL_DM1vs10_MS,TCL_DM1vs20_I,TCL_DM1vs20_MS,TCL_DJ_I,TCL_DJ_MS,TRD_DM1vs1_I,TRD_DM1vs1_MS,TRD_DM1vs5_I,TRD_DM1vs5_MS,TRD_DM1vs10_I,TRD_DM1vs10_MS,TRD_DM1vs20_I,TRD_DM1vs20_MS,TRD_DJ_I,TRD_DJ_MS,TUD_DM1vs1_I,TUD_DM1vs1_MS,TUD_DM1vs5_I,TUD_DM1vs5_MS,TUD_DM1vs10_I,TUD_DM1vs10_MS,TUD_DM1vs20_I,TUD_DM1vs20_MS,TUD_DJ_I,TUD_DJ_MS,TAN_DM1vs1_I,TAN_DM1vs1_MS,TAN_DM1vs5_I,TAN_DM1vs5_MS,TAN_DM1vs10_I,TAN_DM1vs10_MS,TAN_DM1vs20_I,TAN_DM1vs20_MS,TAN_DJ_I,TAN_DJ_MS,HLR_DM1vs1_I,HLR_DM1vs1_MS,HLR_DM1vs5_I,HLR_DM1vs5_MS,HLR_DM1vs10_I,HLR_DM1vs10_MS,HLR_DM1vs20_I,HLR_DM1vs20_MS,HLR_DJ_I,HLR_DJ_MS,HNE_DM1vs1_I,HNE_DM1vs1_MS,HNE_DM1vs5_I,HNE_DM1vs5_MS,HNE_DM1vs10_I,HNE_DM1vs10_MS,HNE_DM1vs20_I,HNE_DM1vs20_MS,HNE_DJ_I,HNE_DJ_MS,AAL_DM1vs1_I,AAL_DM1vs1_MS,AAL_DM1vs5_I,AAL_DM1vs5_MS,AAL_DM1vs10_I,AAL_DM1vs10_MS,AAL_DM1vs20_I,AAL_DM1vs20_MS,AAL_DJ_I,AAL_DJ_MS,RAW_L1_DM1vs1_I,RAW_L1_DM1vs1_MS,RAW_L1_DM1vs5_I,RAW_L1_DM1vs5_MS,RAW_L1_DM1vs10_I,RAW_L1_DM1vs10_MS,RAW_L1_DM1vs20_I,RAW_L1_DM1vs20_MS,RAW_L1_DJ_I,RAW_L1_DJ_MS,RAW_L3_DM1vs1_I,RAW_L3_DM1vs1_MS,RAW_L3_DM1vs5_I,RAW_L3_DM1vs5_MS,RAW_L3_DM1vs10_I,RAW_L3_DM1vs10_MS,RAW_L3_DM1vs20_I,RAW_L3_DM1vs20_MS,RAW_L3_DJ_I,RAW_L3_DJ_MS,WCI_DM1vs1_I,WCI_DM1vs1_MS,WCI_DM1vs5_I,WCI_DM1vs5_MS,WCI_DM1vs10_I,WCI_DM1vs10_MS,WCI_DM1vs20_I,WCI_DM1vs20_MS,WCI_DJ_I,WCI_DJ_MS
0,494,0.86,448,0.86,618,0.86,584,0.86,78,0.86,410,0.67,481,0.67,64,0.67,72,0.67,78,0.67,481,1.0,518,1.0,623,1.0,635,1.0,78,0.0,471,0.25,544,0.25,624,1.0,650,1.0,78,0.25,0,0.39,509,0.39,553,0.8,553,0.39,78,0.39,237,0.7,486,0.7,446,0.7,562,0.7,78,0.7,0,False,446,True,450,True,474,True,78,False,0,False,504,False,509,True,590,True,78,False,0,False,486,False,604,True,565,True,78,False,512,False,635,False,599,True,119,False,78,False
1,481,0.86,478,0.86,587,0.86,622,0.86,78,0.86,106,0.67,594,1.0,73,0.67,71,0.67,78,0.67,483,1.0,616,1.0,620,1.0,674,1.0,78,1.0,231,0.25,574,0.25,623,1.0,632,1.0,78,0.25,590,0.8,572,0.59,552,0.39,618,0.8,78,0.59,139,0.7,451,0.7,529,0.7,564,0.7,78,0.7,0,False,0,False,316,True,588,False,78,False,0,False,257,True,564,True,512,True,78,False,0,False,513,True,640,False,531,False,78,False,536,False,621,False,576,True,163,False,78,False
2,569,0.86,606,0.89,473,0.86,586,0.86,92,0.86,563,1.0,588,1.0,70,0.67,75,0.67,92,0.67,470,1.0,569,1.0,547,1.0,665,1.0,92,0.0,222,0.25,498,0.25,591,0.25,621,0.25,92,0.25,525,0.39,652,1.0,515,0.8,593,0.8,92,0.39,221,0.7,467,0.7,403,0.7,600,0.7,92,0.7,0,False,435,True,498,True,597,True,92,False,0,False,455,False,579,True,579,True,92,False,0,False,451,False,611,True,591,True,92,False,522,False,624,True,614,True,103,False,92,False
3,458,0.86,566,0.86,635,0.86,544,0.86,67,0.86,0,0.67,588,0.67,67,0.67,77,0.67,67,0.67,474,1.0,603,1.0,589,1.0,615,1.0,67,0.0,493,0.0,526,0.25,606,0.25,650,1.0,67,0.25,532,0.59,540,0.39,529,0.8,665,0.8,67,0.39,375,0.7,426,0.7,542,0.7,489,0.7,67,0.7,402,False,233,True,466,False,596,False,67,False,0,False,525,True,522,True,522,True,67,False,0,False,542,True,553,True,571,False,67,False,488,False,588,False,589,False,131,False,67,False
4,567,0.86,598,1.0,557,0.86,610,0.86,94,0.86,451,0.54,555,1.0,72,0.67,74,0.67,94,0.67,533,1.0,599,1.0,545,1.0,668,1.0,94,0.0,502,0.0,568,0.25,1214,0.25,587,0.25,94,0.25,508,0.8,526,0.8,558,0.39,593,0.8,94,0.39,416,0.7,470,0.7,557,0.7,531,0.7,94,0.7,0,False,438,True,289,True,552,True,94,False,0,False,571,True,509,True,568,False,94,False,0,False,358,False,611,True,579,True,94,False,444,False,599,False,616,False,109,False,94,False
5,431,0.86,585,0.86,635,0.86,608,0.86,74,0.86,0,0.67,528,1.0,57,0.67,66,0.67,74,0.67,516,1.0,582,1.0,577,1.0,693,1.0,74,0.0,443,0.0,547,0.25,632,0.0,642,0.25,74,0.25,546,0.48,551,0.59,544,0.8,612,0.8,74,0.39,472,0.7,431,0.92,518,0.7,537,0.7,74,0.7,0,False,526,True,125,False,371,False,74,False,0,False,575,True,511,False,595,False,74,False,0,False,557,False,522,False,584,True,74,False,458,False,571,True,633,True,119,False,74,False
6,488,0.86,506,0.86,563,0.86,623,0.86,80,0.86,542,1.0,563,1.0,71,0.67,74,0.67,80,0.67,456,1.0,596,1.0,618,1.0,662,1.0,80,1.0,448,0.25,527,1.0,602,0.0,593,0.25,80,0.25,577,0.39,597,0.8,625,0.48,574,0.8,80,0.39,412,0.7,279,0.7,541,0.7,339,0.7,80,0.7,0,False,481,True,432,True,570,False,80,False,0,False,538,False,542,False,500,True,80,False,0,False,539,True,612,True,561,False,80,False,446,False,626,True,592,False,126,False,80,False
7,307,0.86,530,0.86,571,0.86,648,0.86,60,0.86,450,0.67,132,0.67,79,0.67,74,0.67,60,0.67,491,1.0,581,1.0,613,1.0,685,1.0,60,1.0,465,0.0,508,0.25,631,0.0,553,0.25,60,0.25,455,0.39,529,0.59,574,0.8,631,0.39,60,0.39,504,0.7,530,0.7,491,0.7,561,0.7,60,0.7,0,False,412,True,484,False,552,True,60,False,0,False,461,False,543,True,554,False,60,False,0,False,526,True,212,False,601,True,60,False,126,False,617,False,602,True,124,False,60,False
8,544,0.86,494,0.86,586,0.86,610,0.86,84,0.86,392,1.0,498,0.67,73,0.67,74,0.67,84,0.67,507,1.0,631,1.0,623,1.0,657,1.0,84,1.0,0,0.25,563,0.25,556,1.0,566,1.0,84,0.25,502,0.39,519,0.39,605,0.8,562,0.8,84,0.39,405,0.7,429,0.62,531,0.7,542,0.7,84,0.7,0,False,461,True,518,False,467,True,84,False,0,False,446,True,327,True,578,True,84,False,0,False,451,False,536,False,502,False,84,False,376,False,603,False,671,False,114,False,84,False
9,435,0.86,544,0.86,397,0.86,600,0.86,57,0.86,436,1.0,625,1.0,76,0.67,80,0.67,57,0.67,553,1.0,570,1.0,599,1.0,664,1.0,57,0.0,516,0.25,602,1.0,613,0.0,620,1.0,57,0.25,566,0.8,576,0.59,572,0.39,568,0.8,57,0.39,0,0.7,570,0.7,585,0.62,550,0.7,57,0.7,0,False,485,True,444,True,563,True,57,False,482,False,463,True,566,False,576,False,57,False,403,False,518,False,587,True,593,False,57,False,529,False,628,True,635,True,124,False,57,False
