WCI (l1; 'ones'),0\%,444.0,0.0,611.0,40.0,613.0,60.0,123.0,0.0,76.0,0.0
TCL (21.88\%),86\%,477.0,86.0,536.0,87.7,562.0,86.0,604.0,86.0,76.0,86.0
TRD (41.66\%),67\%,335.0,78.89999999999999,515.0,86.8,70.0,67.0,74.0,67.0,76.0,67.0
TUD (100\%),0\%,496.0,100.0,586.0,100.0,595.0,100.0,662.0,100.0,76.0,40.0
TAN (84.38\%),25\%,379.0,15.0,546.0,40.0,669.0,37.5,611.0,62.5,76.0,25.0
HLR (0.0037),39\%,480.0,54.2,557.0,61.3,563.0,64.49999999999999,597.0,71.8,76.0,41.0
HNE (32),70\%,318.0,70.0,454.0,71.4,514.0,69.19999999999999,528.0,70.0,76.0,70.0
AAL (l9; 'signsoft'),0\%,40.0,0.0,392.0,90.0,402.0,60.0,533.0,60.0,76.0,0.0
RAW (l1; 'l1\_l2'),0\%,48.0,0.0,480.0,60.0,517.0,70.0,557.0,60.0,76.0,0.0
RAW (l3; 'l1\_l2'),0\%,40.0,0.0,494.0,40.0,549.0,60.0,568.0,50.0,76.0,0.0
WCI (l1; 'ones'),0\%,444.0,0.0,611.0,40.0,613.0,60.0,123.0,0.0,76.0,0.0
